User_ID,Age,Gender,Country,Subscription_Type,Income,Device,Last_Activity,Days_Since_Last_Activity,Will_Subscribe
cee8ac2f-bcf2-4296-9fa9-2b376f6f463f,28,Male,USA,Premium,101037.0,Tablet,2020-09-19 21:00:00,144,1
e0277fba-c950-4e09-afa0-a3c8d36f02ea,46,Other,USA,Standard,66954.0,Tablet,2024-09-13 20:00:00,80,1
bfb6b1c5-0ff6-4f67-a588-7bddf1374390,33,Female,USA,Premium,115465.0,Tablet,2021-04-02 06:00:00,331,1
b8b1cb80-bc5a-4af0-b819-fcc504df5bff,22,Male,Germany,Basic,,Desktop,2024-09-06 10:00:00,112,1
416622fe-196a-4ea4-bb98-6226a2ebde0c,49,Other,USA,Basic,61152.0,Tablet,2023-03-14 16:00:00,111,0
61ea8365-834c-49ec-b39f-65b0867fb1fe,56,Other,Australia,Basic,103382.0,Desktop,2021-05-06 07:00:00,288,1
9b281220-4bbd-4f93-a35a-b5224c9c9ab8,59,Other,India,Standard,36935.0,Mobile,2022-06-19 02:00:00,316,0
d197eb38-be5c-44d4-a7c3-c6d353ee4d7f,21,Male,Australia,Premium,67148.0,Mobile,2020-01-28 20:00:00,205,1
78c9d92e-aaa4-423a-89e0-2ecda2af6f21,58,Male,Germany,Basic,106551.0,Desktop,2022-06-19 16:00:00,296,0
4dc401ad-4d0e-4557-b4ad-27f0c45744f7,55,Other,India,,97364.0,Tablet,2021-11-21 11:00:00,18,0
a9e6362a-8896-4eeb-a991-b00c9199c6a0,45,Female,Australia,Basic,97989.0,Mobile,2020-03-17 14:00:00,265,0
4465257f-f865-485c-bfa7-f0de95ae7436,19,Male,USA,Basic,59599.0,Desktop,2024-06-28 01:00:00,95,0
a92a898d-6465-492a-a3c5-250174aa6cd3,53,Female,USA,Standard,45529.0,Tablet,2021-09-11 15:00:00,82,1
118cfb54-afde-4fb0-b55e-35f4d9e7436d,40,Male,India,Basic,35370.0,Mobile,2022-07-12 23:00:00,12,0
1d14c5e0-962a-4a26-af76-af58f1a691bd,53,Female,India,Premium,116836.0,Desktop,2021-06-03 00:00:00,335,1
aab9a439-8692-497e-8a19-4952c656bc51,44,Female,USA,Standard,92468.0,Desktop,2022-04-18 10:00:00,103,0
3a870bfc-2930-40b8-a9eb-98c5952fe76c,29,Female,USA,Basic,61532.0,Tablet,2024-06-04 07:00:00,154,0
724d5e00-4c56-4cf1-9a03-e58d15d164de,30,Female,USA,Standard,65883.0,Tablet,2022-08-01 07:00:00,284,0
1424f8f9-3b2e-48f9-9612-19fc084c1e38,50,Other,Germany,Standard,88706.0,Tablet,2020-08-19 01:00:00,113,0
b324e30f-e901-48a2-a740-c789d62e4f06,26,Other,Germany,Basic,47713.0,Desktop,2022-12-11 09:00:00,61,0
aa7c3945-ca80-4edf-af6d-9270b1c61282,51,,India,Premium,75727.0,Desktop,2023-03-04 09:00:00,314,1
43d90c32-7420-43b7-98a1-78b27ccbec03,47,Male,India,Premium,103399.0,Mobile,2022-01-10 11:00:00,179,0
1d75b45c-a6f8-440c-bfff-73f9bd73caa6,32,Male,India,Standard,30006.0,Mobile,2022-02-05 00:00:00,352,1
cd777ab0-84fe-4869-9d96-32e5c792a10e,49,Female,USA,Basic,114451.0,Desktop,2020-11-22 19:00:00,246,0
c5277ae9-22cb-4c83-9695-0cd5c15c0faf,21,Female,India,Basic,88635.0,Tablet,2024-03-24 18:00:00,260,1
e20e61f0-cb2a-4b49-8aca-d1b1b2d3ea17,38,Male,Germany,,92803.0,Desktop,2020-01-16 04:00:00,338,0
f06902eb-53ee-4cbb-8341-72e298fa127b,38,,India,Premium,57376.0,Mobile,2022-08-25 04:00:00,188,0
d88e690d-41ae-4925-aea9-8f3c75f29b82,57,Male,India,Basic,87763.0,Tablet,2021-06-09 20:00:00,320,1
0561efa2-048b-4076-8427-ee4ea3fc994d,33,Female,India,Premium,119104.0,Mobile,2024-04-28 07:00:00,63,1
a05da089-836a-4154-bc47-9734c1a18599,44,Other,USA,Standard,67960.0,Tablet,2021-03-31 08:00:00,260,0
05e7561b-2572-4a99-990b-c83ecf648a1f,47,Male,India,Premium,73879.0,Desktop,2023-09-23 03:00:00,40,1
25fa5d83-d156-471e-8f9c-77b7bf11dab0,52,Male,Australia,Premium,77367.0,Tablet,2022-09-25 20:00:00,108,1
7a93186b-893a-4454-9886-8c9b9a3a7f31,41,Female,USA,Basic,83563.0,Mobile,2024-08-08 20:00:00,277,1
33c1bea8-7ed1-4a78-95fd-aa27a7577479,69,Female,USA,Premium,87700.0,Mobile,2021-02-05 17:00:00,307,0
75d2e8b4-de99-4893-867f-bcf99f146ea1,56,Female,Australia,Premium,43039.0,Desktop,2023-01-30 16:00:00,338,0
d5747398-6a5b-46e1-aec7-4a5893f9e69f,53,Female,Germany,Basic,,Tablet,2021-06-16 20:00:00,246,1
5fac7cd2-4967-464d-b8ec-3cc6f8b2f430,49,Male,India,,102725.0,Mobile,2024-03-27 10:00:00,101,0
2d58b12a-bce5-4cbd-990d-a35eb29b5429,27,Other,India,,47445.0,Mobile,2023-11-16 15:00:00,16,0
90f2c184-992b-4e0a-9760-80469dab6b73,63,Female,Australia,,67587.0,Desktop,2021-11-29 00:00:00,37,1
dd10a209-033b-47c8-b04d-da3b2d57b411,48,Male,Australia,Basic,81370.0,Desktop,2024-04-04 20:00:00,205,0
bd805438-857a-4162-bd37-716c3e46df60,20,Female,Australia,Basic,,Desktop,2023-02-20 04:00:00,261,1
7357ccd3-669b-4ad9-848e-466daa50f7ac,38,Female,Australia,Basic,101520.0,Mobile,2021-08-29 03:00:00,224,0
025007ab-85fd-4033-93fb-d63d31b1edca,18,Male,Germany,Premium,71740.0,Mobile,2023-03-02 01:00:00,270,1
1382db60-a98a-4755-a006-2bda322ee5d0,20,Other,Germany,Basic,40827.0,Tablet,2020-06-10 17:00:00,130,0
